situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
my friend broke my trust and a promise to me,anger,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
My friend called me out for being noisy and rude.,guilt,xenvent,2.0,,2.0,2.25,4.0,4.0,,3.25,2.5,1.25,1.75,4.25,,
My friend came back and showed me i can ... him.,trust,envent,5.0,1.0,5.0,3.0,4.0,4.0,,,4.0,4.0,3.0,4.0,,
my friend came out as gay to me,surprise,envent,3.0,1.0,4.0,3.0,1.0,5.0,,,2.0,4.0,2.0,4.0,,
my friend came to me with an issue she was having and came to me for advice,trust,envent,4.0,2.0,4.0,2.0,1.0,4.0,,,1.0,4.0,2.0,4.0,,
my friend caught me after I fell,trust,envent,1.0,5.0,3.0,3.0,4.0,1.0,,,2.0,4.0,4.0,5.0,,
My friend collapsed in a night club,fear,envent,1.0,5.0,4.0,1.0,1.0,1.0,,,2.0,5.0,2.0,3.0,,
My friend coughed in my face without apoligizing.,disgust,envent,1.0,5.0,3.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
"My friend demonstrated authenticity in validating my feelings, and also vulnerability in sharing her thoughts with me.",trust,envent,5.0,1.0,3.0,2.0,3.0,4.0,,,2.0,1.0,3.0,2.0,,
My friend died of a an heart attack,sadness,envent,1.0,5.0,3.0,4.0,1.0,4.0,,,3.0,3.0,1.0,1.0,,
my friend from a different state came to my birthday party without me knowing,surprise,envent,5.0,1.0,5.0,2.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
"my friend got bitten by a cat and may have had rabies but chances were extremely low. she told me, i didn't really care until the results were back the following week.",no-emotion,envent,1.0,1.0,2.0,1.0,1.0,5.0,,,1.0,3.0,1.0,3.0,,
my friend got cheated on,disgust,envent,1.0,4.0,5.0,3.0,1.0,5.0,,,1.0,4.0,4.0,5.0,,
"My friend got her dream job, but 250 miles away which will be hard on me, so partially mixed emotions.",pride,envent,4.0,2.0,4.0,1.0,1.0,5.0,,,5.0,4.0,1.0,4.0,,
My friend got married,surprise,envent,4.0,1.0,4.0,4.0,1.0,4.0,,,5.0,4.0,4.0,5.0,,
My friend got me the best gift i have ever received out of nowhere.,surprise,envent,5.0,1.0,5.0,3.0,1.0,5.0,,,4.0,4.0,1.0,5.0,,
my friend got out of the hospital,relief,envent,5.0,1.0,5.0,1.0,1.0,5.0,,,3.0,5.0,1.0,5.0,,
my friend in the passenger's seat would not help with directions when I was driving in a big city with lots of traffic and didn't know where I was going,anger,envent,1.0,4.0,4.0,4.0,3.0,4.0,,,2.0,2.0,3.0,4.0,,
My friend needed support to manage her money so she gave me control of her bank accounts,trust,envent,5.0,1.0,5.0,3.0,5.0,5.0,,,4.0,4.0,4.0,2.0,,
my friend put himself between myself and a dangerous object during an activity that I was feeling worried about anyway. I felt ... that I could continue with the activity because they would protect and help me.,trust,envent,1.0,1.0,4.0,4.0,2.0,4.0,,,1.0,5.0,3.0,4.0,,
My friend rejected my wife's proposal to him and he reported thr scenario to me even against her wish,trust,envent,5.0,1.0,5.0,4.0,3.0,4.0,,,4.0,3.0,5.0,4.0,,
My friend relied on me to help him when his girlfriend was very drunk and ill during a party,trust,envent,1.0,2.0,5.0,5.0,1.0,5.0,,,2.0,5.0,5.0,4.0,,
my friend responded with a slightly negative joke towards me.,surprise,envent,2.0,2.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
"my friend said something offensive to me, I voiced that I was hurt, and he invalidated my feelings.",anger,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,3.0,2.0,3.0,4.0,,
My friend sat on a cliff for pictures,fear,envent,1.0,4.0,5.0,3.0,1.0,5.0,,,1.0,5.0,4.0,5.0,,
my friend sent her mum round to attack my mum,disgust,envent,1.0,4.0,4.0,3.0,1.0,5.0,,,4.0,4.0,1.0,5.0,,
My friend shared a secret with me.,trust,envent,5.0,1.0,5.0,5.0,5.0,4.0,,,2.0,3.0,4.0,5.0,,
My friend showed me an image of several dead small creatures that they have kept in jars in peroxide solution.,disgust,envent,2.0,4.0,3.0,3.0,1.0,5.0,,,3.0,2.0,2.0,5.0,,
my friend stood me up,anger,envent,1.0,4.0,3.0,3.0,1.0,5.0,,,2.0,1.0,1.0,5.0,,
my friend stood up for me when I was have issues with another friend.,trust,envent,1.0,4.0,3.0,3.0,2.0,5.0,,,4.0,1.0,2.0,5.0,,
My friend told me a secret about her relationship,trust,envent,3.0,2.0,5.0,3.0,1.0,4.0,,,1.0,3.0,1.0,5.0,,
my friend told me a secret and asked me not to tell anybody else,trust,envent,3.0,1.0,5.0,1.0,4.0,4.0,,,2.0,5.0,3.0,4.0,,
"My friend told me she had just bought a new house, and I was the first person she had told.",surprise,envent,5.0,1.0,4.0,1.0,1.0,5.0,,,1.0,5.0,3.0,5.0,,
"my friend told me she had seen my boyfriend on a dating app, i completely ... him and told her that it must have been his old profile which he had not deleted correctly, believing that he deleted the app from his phone rather than the profile. i said to him that you need to log back in to it and delete your profile properly. i felt nothing but ... for him that this was the case, turns out i was completely wrong, found out a week later he was talking to others and his profile was showing up on my friends dating app as he had been active recently",trust,envent,5.0,1.0,1.0,1.0,1.0,5.0,,,3.0,5.0,1.0,5.0,,
my friend told me she was having a baby,trust,envent,4.0,1.0,3.0,2.0,1.0,5.0,,,3.0,2.0,1.0,4.0,,
My friend told me she was moving to the same city as me,surprise,envent,5.0,1.0,4.0,3.0,1.0,5.0,,,5.0,3.0,1.0,5.0,,
my friend told me she was pregnant,surprise,envent,5.0,1.0,2.0,2.0,1.0,5.0,,,2.0,4.0,2.0,5.0,,
my friend told me she was pregnant.,surprise,envent,5.0,1.0,5.0,3.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
my friend tried to shake my hand after coming out of the toilet without washing his hands.,disgust,envent,1.0,4.0,5.0,2.0,1.0,5.0,,,2.0,5.0,4.0,2.0,,
my friend visited me in the hospital after a life-threatening experience.,trust,envent,5.0,1.0,4.0,3.0,2.0,5.0,,,3.0,4.0,2.0,5.0,,
My friend who hadn't seen in over a year during the pandemic came to visit.,joy,envent,5.0,1.0,4.0,2.0,5.0,5.0,,,2.0,3.0,4.0,4.0,,
my friend's mum died.,sadness,envent,1.0,5.0,5.0,5.0,1.0,2.0,,,4.0,5.0,1.0,4.0,,
my friends asked me to be maid of honour,surprise,envent,4.0,1.0,3.0,2.0,4.0,1.0,,,1.0,5.0,5.0,3.0,,
My friends came and picked me up from the airport,trust,envent,4.0,2.0,4.0,2.0,2.0,4.0,,,2.0,2.0,3.0,3.0,,
my friends gave me a surprise birthday present,surprise,envent,5.0,1.0,3.0,3.0,2.0,5.0,,,3.0,4.0,2.0,5.0,,
my friends had my back during a certain situation when I felt like they would turn their back on me. We had deferring opinions and I thought they wouldn't want to see me because of it.,trust,envent,5.0,3.0,5.0,4.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,
My friends helped me answer a survey for a job reference and did so very positively,trust,envent,5.0,1.0,1.0,1.0,5.0,5.0,,,5.0,4.0,1.0,5.0,,
my friends left me on my own at a nightclub,anger,envent,1.0,4.0,4.0,4.0,1.0,5.0,,,3.0,2.0,2.0,5.0,,
My friends let me take their children fishing,trust,envent,5.0,1.0,5.0,3.0,3.0,4.0,,,4.0,1.0,5.0,4.0,,
my friends surprised me on my birthday,joy,envent,5.0,1.0,3.0,3.0,2.0,4.0,,,3.0,4.0,3.0,4.0,,
My friends threw me a secret suprise party,surprise,envent,5.0,1.0,5.0,5.0,1.0,5.0,,,5.0,5.0,2.0,4.0,,
my friends threw me a surprise birthday party last year.,surprise,envent,4.0,1.0,1.0,3.0,1.0,5.0,,,1.0,5.0,4.0,5.0,,
my friends threw me a surprise party,surprise,envent,5.0,2.0,1.0,4.0,3.0,5.0,,,2.0,5.0,5.0,5.0,,
"my friends would hang out without me, i know this shouldn't bother me but unfortunately i can be a very jealous person sometimes, this is something i am working on because i know being ... only effects me not them",anger,envent,2.0,4.0,1.0,4.0,2.0,5.0,,,3.0,1.0,1.0,5.0,,
"My GCSE maths result - I didnt study for it and remember when I got my result - C. I felt ... to it, so I wasnt upset or angry at myself, not was i pleased with myself. I think due to me telling myself i would be rewarded by the effort that i put in so no one to blame but myself",no-emotion,envent,3.0,3.0,4.0,1.0,5.0,1.0,,,1.0,5.0,3.0,3.0,,
my girlfriend broke my trust at a time when I very much trusted her.,sadness,envent,1.0,4.0,4.0,4.0,1.0,5.0,,,5.0,4.0,2.0,5.0,,
My girlfriend broke up with me.,sadness,envent,1.0,5.0,5.0,5.0,3.0,5.0,,,5.0,5.0,1.0,5.0,,
my girlfriend brought home a kitten after going for a walk,surprise,envent,5.0,1.0,5.0,2.0,1.0,5.0,,,1.0,5.0,2.0,5.0,,
My girlfriend came and brought me food and medicine when I was sick,trust,envent,5.0,1.0,3.0,1.0,2.0,5.0,,,3.0,1.0,2.0,5.0,,
My girlfriend cheated on me. Because broke my trust,anger,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,3.0,5.0,2.0,5.0,,
my girlfriend first confirmed her feelings for me as it validated any fears I had about relationship prior to her voicing them.,trust,envent,5.0,1.0,5.0,1.0,4.0,5.0,,,5.0,5.0,1.0,5.0,,
My girlfriend got her ideal job after days of coaching from me,pride,envent,5.0,2.0,3.0,2.0,2.0,4.0,,,5.0,1.0,2.0,4.0,,
My girlfriend got pregnant. I didn't even know if I should be angry or be happy. Everytime I remember the scenario I just laugh off,no-emotion,envent,3.0,3.0,5.0,3.0,4.0,3.0,,,3.0,4.0,4.0,3.0,,
My girlfriend left,sadness,envent,1.0,5.0,5.0,5.0,4.0,4.0,,,5.0,2.0,4.0,4.0,,
My girlfriend took me on holiday but didn't tell me where to.,surprise,envent,5.0,1.0,5.0,4.0,1.0,5.0,,,1.0,5.0,3.0,5.0,,
my girlfriend took my lunch,anger,envent,2.0,5.0,3.0,2.0,1.0,5.0,,,2.0,5.0,2.0,4.0,,
my girlfriend travelled all the way up the country to see me,trust,envent,5.0,1.0,4.0,2.0,2.0,5.0,,,3.0,4.0,3.0,5.0,,
"My girlfriend went out and got drunk and disappeared for a few hours which was fine for her to do but if I don't answer my phone for a while, it automatically means I'm cheating.",anger,envent,1.0,5.0,1.0,4.0,1.0,5.0,,,3.0,3.0,2.0,4.0,,
"My girlfriend whom i broke up with and asked not to contact me, did so. Just to wish me a happy birthday.",anger,envent,1.0,5.0,1.0,5.0,5.0,5.0,,,5.0,1.0,5.0,5.0,,
My girlfriend's dog was unwell and she was procrastinating taking him to the vet last year,anger,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,3.0,5.0,2.0,5.0,,
my good friend shared something personal with me,trust,envent,4.0,2.0,5.0,5.0,1.0,5.0,,,5.0,5.0,5.0,5.0,,
"my gorgeous cuddely kitten ""coconut"" died last month",sadness,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,5.0,5.0,,
My grandad beat cancer,relief,envent,1.0,5.0,5.0,4.0,1.0,1.0,,,4.0,4.0,1.0,2.0,,
My grandad died 5wks before my first child was born.,sadness,envent,1.0,5.0,4.0,4.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,
my grandad passed away,sadness,envent,1.0,5.0,3.0,2.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,
My grandad recovered from a temporary ailment. I have not lost anyone close to me as yet and I did not feel ready to. This was the closest I have come and I felt a sense of hopelessness and upset and so the ... when it was not life threatening was huge.,relief,envent,1.0,5.0,4.0,5.0,1.0,3.0,,,3.0,3.0,1.0,4.0,,
My grandad was ill and passed away.,sadness,envent,1.0,5.0,4.0,3.0,1.0,4.0,,,5.0,2.0,1.0,4.0,,
My grandad was treated poorly in hospital,disgust,envent,1.0,5.0,5.0,5.0,1.0,4.0,,,3.0,5.0,1.0,5.0,,
My Grandfather critizied my parenting,anger,envent,1.0,4.0,4.0,3.0,1.0,5.0,,,2.0,5.0,3.0,5.0,,
my grandfather died - that was the first time I lost somebody I felt close to.,sadness,envent,1.0,5.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,
my grandfather died suddenly,sadness,envent,2.0,5.0,2.0,2.0,1.0,1.0,,,3.0,1.0,1.0,3.0,,
"my grandfather died. We had a very strange relationship throughout my life, and I feel as if I was better off not knowing him. He was always rude to me and my friends, and was a racist.",no-emotion,envent,1.0,5.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,
my grandfather passed away after having a bad fall,sadness,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
my grandfather passed away while I was still young. He had lung cancer and I didn't understand why he had to die as I was too young to understand how illnesses work.,sadness,envent,1.0,5.0,4.0,3.0,1.0,2.0,,,3.0,2.0,1.0,2.0,,
My grandfather was diagnosed with dementia,no-emotion,envent,3.0,3.0,4.0,4.0,1.0,3.0,,,4.0,3.0,1.0,5.0,,
My grandma died,sadness,envent,1.0,5.0,2.0,5.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,
my grandma died.,sadness,envent,1.0,5.0,3.0,4.0,1.0,1.0,,,2.0,4.0,1.0,1.0,,
my Grandma fell and she had no broken bones,relief,envent,1.0,4.0,4.0,2.0,1.0,3.0,,,1.0,4.0,1.0,2.0,,
My grandma fell because her children didnt care for her properly,anger,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,4.0,5.0,1.0,5.0,,
my grandma passed away,sadness,envent,1.0,1.0,4.0,3.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,
my grandma passed away.,sadness,envent,1.0,5.0,2.0,5.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,
My grandma was suddenly in the hospital and not anticipated to live much longer.,sadness,envent,1.0,5.0,4.0,5.0,1.0,1.0,,,3.0,5.0,1.0,1.0,,
My grandmother died,sadness,envent,1.0,5.0,4.0,5.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,
my grandmother died in the hospital.,sadness,envent,1.0,5.0,4.0,5.0,1.0,2.0,,,5.0,2.0,1.0,2.0,,
My grandmother had lung cancer and during her last day my father and other relatives behaved in an appalling manner. Every day i went to sit by my grandmother to keep her company and spend as much time with as possible. We were told that she wouldn't last much longer and yet my father and relatives decided drinking would be a better way to pass the time rather than stay with her as long as they could. I spent the night alone with the nurse and my grandmother while they all got drunk to drown their sorrows. I was so ... by their behaviour as well as angry. The ... hasn't really left.,disgust,envent,1.0,5.0,1.0,4.0,1.0,5.0,,,1.0,1.0,1.0,1.0,,
My grandmother passed away,sadness,envent,1.0,4.0,3.0,2.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,
my grandpa died. He'd been ill for a number of months.,sadness,envent,1.0,5.0,4.0,4.0,1.0,1.0,,,5.0,5.0,1.0,1.0,,
my grandpa got a brain injury by falling down the stairs,surprise,envent,1.0,5.0,4.0,3.0,1.0,2.0,,,5.0,5.0,1.0,4.0,,
My grandpa says he wishes he could walk like he used too,sadness,envent,1.0,4.0,3.0,4.0,1.0,3.0,,,2.0,3.0,1.0,4.0,,
my grandparents and parents congratulated me on graduating high school.,joy,envent,5.0,1.0,2.0,2.0,3.0,3.0,,,3.0,1.0,2.0,4.0,,
My grandparents were cruel to my mother,anger,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,3.0,1.0,1.0,5.0,,
"my great aunt that I never knew, died",no-emotion,envent,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,
my hamster died,sadness,envent,1.0,5.0,3.0,4.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,
My hamster died.,sadness,envent,2.0,4.0,2.0,4.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,
my holiday got cancelled,no-emotion,envent,2.0,3.0,5.0,4.0,1.0,1.0,,,3.0,5.0,5.0,5.0,,
my holiday to Newquay wasn't as fun as I thought it would be,sadness,envent,2.0,3.0,2.0,2.0,4.0,4.0,,,2.0,4.0,5.0,5.0,,
my holiday to visit my sister in NY was cancelled due to covid after not seeing her for two years,sadness,envent,1.0,5.0,4.0,4.0,1.0,1.0,,,4.0,2.0,1.0,1.0,,
My Holiday was cancelled,sadness,envent,1.0,5.0,4.0,1.0,1.0,1.0,,,4.0,1.0,1.0,5.0,,
My home insurance company messed up my insurance claim,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,1.0,1.0,5.0,,
My home was invaded and I was briefly held at gunpoint but escaped,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,4.0,5.0,4.0,2.0,,
my house burned down,sadness,envent,1.0,5.0,4.0,5.0,1.0,4.0,,,5.0,5.0,1.0,3.0,,
My house purchase went through,relief,envent,5.0,1.0,5.0,5.0,4.0,4.0,,,5.0,3.0,1.0,5.0,,
"my house sold. My husband and I decided to sell our house last year. It was a hard year for us. He finished his contract at the military and we really hadn't planned for the transition. Due to some circumstances this transition happened sooner than expected. We decided the best thing to do was move to another state to pursue an opportunity. I was really nervous about selling a house during a pandemic, even if the market and interest rates were the best they ever were. I just didn't think someone would want our house or that it wouldn't sell that quick. It sold in 4 days. We received multiple overs and I never imagined having that much profit only having a mortgage for 2 years.",relief,envent,4.0,1.0,3.0,3.0,1.0,3.0,,,3.0,1.0,1.0,5.0,,
My house was valued to sell by my bank,no-emotion,envent,1.0,5.0,2.0,1.0,3.0,3.0,,,5.0,1.0,1.0,5.0,,
my housemate couldn't find room in the freezer for his shopping and took one of my items out and just left it carelessly in the fridge and defrosted,anger,envent,1.0,4.0,4.0,4.0,1.0,5.0,,,2.0,5.0,3.0,5.0,,
my housemate shamed me for what I was wearing,anger,envent,1.0,5.0,4.0,3.0,2.0,5.0,,,2.0,4.0,2.0,5.0,,
My hubby bought my favorite dress last week.,surprise,envent,4.0,1.0,5.0,5.0,1.0,4.0,,,4.0,3.0,1.0,5.0,,
My hubby farted in my presence. He knew U detest it but he went ahead and did it.,disgust,envent,1.0,4.0,5.0,5.0,1.0,5.0,,,3.0,3.0,1.0,5.0,,
My hubby was promoted at work place.,joy,envent,5.0,1.0,5.0,5.0,1.0,1.0,,,4.0,5.0,1.0,5.0,,
My husband and children went for holiday leaving only me behind. I was so ... and lonely.,boredom,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,1.0,1.0,5.0,,
My husband and his team mates came 5th in a UK 24hr go-karting event/race,pride,envent,4.0,3.0,4.0,3.0,1.0,4.0,,,2.0,1.0,1.0,4.0,,
"my husband and I bought groceries, and we had fully stocked freezer, fridge and pantry.",relief,envent,5.0,1.0,5.0,4.0,5.0,5.0,,,4.0,2.0,4.0,4.0,,
my husband and I went on our first vacation without the children!,joy,envent,5.0,1.0,5.0,3.0,3.0,3.0,,,5.0,3.0,3.0,3.0,,
"my husband and i were long-distance for over a year. We hadn't seen each other in over 7 months and one day, on the phone, he told me it was getting hard for him and he didn't know what to do anymore if things didn't change. The situation was out of my control, I couldn't speed up our time apart and I genuinely ... I would lose my marriage over it.",fear,envent,1.0,5.0,5.0,5.0,3.0,3.0,,,5.0,5.0,4.0,4.0,,
my husband and I were lying in bed together looking at memes while on holiday while the kids amused themselves elsewhere. Hardest I've laughed in a long time.,joy,envent,5.0,1.0,4.0,2.0,4.0,2.0,,,2.0,3.0,5.0,2.0,,
my husband and my daughter came to meet me from work when i thought they were staying at home.,surprise,envent,4.0,1.0,1.0,1.0,1.0,5.0,,,2.0,3.0,1.0,5.0,,
my husband asked for a divorce,no-emotion,envent,1.0,5.0,1.0,3.0,3.0,4.0,,,3.0,1.0,5.0,1.0,,
my husband asked me to be his wife.,surprise,envent,5.0,1.0,5.0,2.0,1.0,5.0,,,4.0,5.0,5.0,4.0,,
my husband became seriously ill very suddenly and almost died 3 times in 5 months. we spent months in the hospital whilst they tried to discover what was wrong and how to help him.,sadness,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,3.0,,
My husband became very sick one day and couldn't walk. I thought he was dead.,fear,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,1.0,5.0,3.0,1.0,,
my husband behind my back and took out multiple loans in order to help his eldest son (My step son). I only found out when my husband had to tell me due to the fact his son stopped repaying and we had to file for bankruptcy. I was very ... as some of the cards were jointly owned. My husband had also used our young childrens savings to try and cover the loans until his son could pay. So lost everything.,anger,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
My husband by my side through cancer treatment,trust,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,4.0,4.0,1.0,4.0,,
my husband died,sadness,envent,1.0,5.0,3.0,4.0,1.0,2.0,,,3.0,2.0,1.0,3.0,,
"My husband finally found out that we didnt have to move house for his job, but could continue living in our current home/location. We had waited for months to be told, right up until the deadline and were worried about going through last minute packing, sorting schools and transportation to the new area, how our children would react and the pressure it would put on us. It was a complete ... to find that we did not have to move, and stress about any of those things, but carry on as before",relief,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,5.0,3.0,1.0,5.0,,
my husband found out he had a half brother,surprise,envent,1.0,4.0,5.0,3.0,1.0,5.0,,,3.0,1.0,1.0,5.0,,
My husband got annoyed when driving and drove too fast,anger,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,4.0,1.0,2.0,5.0,,
My husband got into a bad car accident,fear,envent,1.0,5.0,5.0,5.0,1.0,4.0,,,3.0,5.0,1.0,2.0,,
My husband had an affair,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
my husband had booked theatre tickets and a weekend away. picked me up from work with a suitcase packed,surprise,envent,5.0,1.0,2.0,4.0,1.0,5.0,,,1.0,5.0,3.0,5.0,,
my husband had covid a year ago with our infant. I didnt know if everything would be okay.,fear,envent,1.0,5.0,4.0,4.0,1.0,3.0,,,3.0,3.0,2.0,4.0,,
"My husband had gone to drive a strange, broken car. At the agreed time, he had not returned, and I feared that he had had an accident.",guilt,xenvent,2.75,,1.5,1.5,4.75,1.0,,3.5,1.5,1.25,3.5,1.0,,
My husband had to arrange some childcare in an emergency,trust,envent,4.0,3.0,2.0,2.0,1.0,1.0,,,4.0,5.0,2.0,4.0,,
my husband has become very distant from his family and has only interests in gaming and gambling.,sadness,envent,1.0,5.0,3.0,5.0,2.0,4.0,,,4.0,2.0,2.0,3.0,,
"My husband helped me cross a stream on a log, by holding my hand .",trust,envent,4.0,2.0,4.0,3.0,4.0,4.0,,,1.0,3.0,3.0,5.0,,
My husband helped me when I got hurt while hiking and he had to carry me down a thin pathway on the edge of a mountain side,trust,envent,1.0,5.0,4.0,5.0,3.0,1.0,,,2.0,5.0,4.0,1.0,,
my husband is always there for me and i can ... that no matter what he will be there for our child and do what ittakes to provide for us as a family,trust,envent,1.0,4.0,3.0,5.0,1.0,5.0,,,5.0,4.0,2.0,3.0,,
"my husband is not in the mood to chat because I feel lonely and I so enjoy chatting to people and after a day with the girls, I look forward to spending time together so it makes me feel ... if he doesn't feel the same way",sadness,envent,1.0,5.0,3.0,4.0,3.0,5.0,,,1.0,4.0,2.0,5.0,,
my husband left me,sadness,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
my husband left the house in a mess,anger,envent,1.0,5.0,1.0,5.0,1.0,5.0,,,5.0,5.0,2.0,5.0,,
My husband lost his job.,sadness,envent,1.0,5.0,2.0,5.0,1.0,3.0,,,5.0,4.0,1.0,3.0,,
"My husband missed an important call, because his phone was on silent AGAIN!",anger,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,3.0,5.0,5.0,5.0,,
my husband passed his probation in his new job,pride,envent,4.0,1.0,4.0,1.0,1.0,5.0,,,2.0,4.0,1.0,5.0,,
my husband proposed on my birthday,surprise,envent,5.0,1.0,4.0,5.0,3.0,4.0,,,1.0,4.0,3.0,4.0,,
my husband proposed to me,joy,envent,4.0,1.0,5.0,3.0,3.0,5.0,,,5.0,5.0,3.0,5.0,,
my husband stood up for me against his family.,trust,envent,1.0,5.0,5.0,5.0,3.0,3.0,,,5.0,4.0,2.0,4.0,,
"My husband talks about his business, which is also his hobby, model trains.",no-emotion,envent,2.0,4.0,5.0,4.0,1.0,3.0,,,2.0,5.0,1.0,5.0,,
my husband took me away on a surprise holiday,surprise,envent,5.0,1.0,3.0,3.0,1.0,5.0,,,3.0,3.0,1.0,5.0,,
"My husband was describing a game of online chess to me. He went into details on the various chess moves/tactics. I have little to no interest in chess, and was struggling to appear interested!",boredom,envent,2.0,3.0,3.0,3.0,1.0,2.0,,,1.0,1.0,3.0,4.0,,
My husband was poorly with covid,sadness,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,5.0,,
my husband was so supportive during the births of our daughters,trust,envent,4.0,2.0,5.0,5.0,4.0,4.0,,,5.0,5.0,3.0,4.0,,
My husband was watching sports on our tv,no-emotion,envent,3.0,3.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
my husband went to the emergency room,fear,envent,1.0,5.0,5.0,4.0,1.0,1.0,,,5.0,4.0,1.0,1.0,,
my husband would rather play video games instead of spending time with me.,boredom,envent,1.0,4.0,5.0,4.0,3.0,5.0,,,4.0,3.0,3.0,5.0,,
my husbands head blew up,surprise,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,3.0,1.0,1.0,,
my husbands hours where reduced and i was made redundant.,fear,envent,1.0,5.0,3.0,5.0,1.0,1.0,,,5.0,4.0,1.0,5.0,,
My I had a baby boy instead of a girl.,surprise,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,5.0,5.0,1.0,1.0,,
My internet cut out,boredom,envent,1.0,5.0,4.0,4.0,2.0,2.0,,,3.0,2.0,2.0,1.0,,
my interview i was scared for got cancelled,relief,envent,4.0,1.0,4.0,1.0,1.0,5.0,,,5.0,2.0,2.0,3.0,,
My job gave a promotion I was trained for to another co worker who was not.,disgust,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,5.0,5.0,1.0,4.0,,
My job status was delayed,anger,envent,1.0,4.0,3.0,4.0,1.0,4.0,,,5.0,3.0,1.0,5.0,,
my laptop was stolen last year,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
my last day of high school,no-emotion,envent,3.0,3.0,1.0,2.0,1.0,5.0,,,2.0,5.0,2.0,4.0,,
my letter was featured in a Captain America comic.,joy,envent,4.0,1.0,3.0,1.0,4.0,2.0,,,1.0,1.0,1.0,1.0,,
"My line manager conided in me that the team at work were to be made redundant, but me and her had new positions lined up",trust,envent,4.0,4.0,4.0,3.0,2.0,5.0,,,5.0,2.0,1.0,5.0,,
My line manager micro manages me,anger,envent,1.0,4.0,2.0,2.0,1.0,5.0,,,1.0,1.0,1.0,2.0,,
my line manager said I was doing the right thing in leaving my job as a mother to be a mum full time.,anger,envent,3.0,3.0,4.0,3.0,1.0,4.0,,,4.0,4.0,1.0,4.0,,
My little brother baseball team won the whole tournament!,joy,xenvent,4.75,,1.0,1.0,1.0,5.0,,4.25,1.5,1.0,1.0,4.0,,
My little brother came out as gay because I myself am a pansexual girl whose marrying a woman and being raised by a homophobic mother I know how hard it was for him and I couldn't be more full of ...,pride,envent,5.0,1.0,5.0,5.0,3.0,5.0,,,3.0,5.0,3.0,4.0,,
my little brother was ran over,sadness,envent,1.0,5.0,5.0,1.0,1.0,4.0,,,2.0,4.0,1.0,5.0,,
My little girl was In a accident she was ok,relief,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,2.0,4.0,,
my long distant relationship partner and myself were apart for almost a year,trust,envent,1.0,5.0,5.0,5.0,2.0,2.0,,,3.0,4.0,2.0,4.0,,
my long time girlfriend broke up with me.,sadness,envent,1.0,5.0,5.0,5.0,4.0,5.0,,,5.0,5.0,1.0,5.0,,
